"IdUsuario";"ProjetosVisualizados";"ProjetoArgumento";"ProjetoRecomendado";"PosicaoNaLista";"InterseccaoTags"
40;2;"GIMP";"";NA;0
43;2;"Joomla!";"";NA;0
43;2;"Notepad++";"";NA;0
44;3;"Notepad++";"";NA;0
44;3;"KDevelop";"";NA;0
44;3;"R";"";NA;0
45;2;"Vim";"";NA;0
45;2;"R";"";NA;0
46;2;"JabRef";"";NA;0
46;2;"Vim";"";NA;0
48;2;"GIMP";"";NA;0
48;2;"Notepad++";"";NA;0
53;6;"pgAdmin III";"";NA;0
53;6;"R";"";NA;0
53;6;"Mozilla Firefox";"";NA;0
53;6;"GIMP";"";NA;0
53;6;"Joomla!";"";NA;0
53;6;"Notepad++";"";NA;0
61;5;"R";"";NA;0
61;5;"Ruby";"";NA;0
61;5;"GIMP";"";NA;0
61;5;"GIMP";"";NA;0
61;5;"CDLivre";"";NA;0
65;6;"pgAdmin III";"";NA;0
65;6;"Geany";"";NA;0
65;6;"GIMP";"";NA;0
65;6;"Eclipse Platform Project";"";NA;0
65;6;"Notepad++";"";NA;0
65;6;"svn-atom";"";NA;0
66;6;"Eclipse Platform Project";"";NA;0
66;6;"gnuplot";"";NA;0
66;6;"Geany";"";NA;0
66;6;"VLC media player";"";NA;0
66;6;"Mozilla Firefox";"";NA;0
66;6;"Notepad++";"";NA;0
67;5;"NetBeans IDE";"";NA;0
67;5;"R";"";NA;0
67;5;"Mozilla Firefox";"";NA;0
67;5;"Geany";"";NA;0
67;5;"Eclipse Platform Project";"";NA;0
70;17;"FreeMind";"";NA;0
70;17;"ArgoUML";"";NA;0
70;17;"Dia";"";NA;0
70;17;"Code::Blocks";"";NA;0
70;17;"NetBeans IDE";"";NA;0
70;17;"Eclipse Java Development Tools (JDT)";"";NA;0
70;17;"gedit";"";NA;0
70;17;"Texmaker";"";NA;0
70;17;"Doxygen";"";NA;0
71;6;"Noosfero";"";NA;0
71;6;"Ruby";"";NA;0
71;6;"Ruby on Rails";"";NA;0
71;6;"GIMP";"";NA;0
71;6;"Redmine";"";NA;0
71;6;"jQuery";"";NA;0
72;6;"Bloodshed Dev-C++";"";NA;0
72;6;"Foxit Portable Edition Launcher";"";NA;0
72;6;"Mozilla Firefox";"";NA;0
72;6;"VLC media player";"";NA;0
72;6;"Notepad++";"";NA;0
72;6;"Eclipse Platform Project";"";NA;0
73;10;"GIMP";"";NA;0
73;10;"Ruby";"";NA;0
73;10;"TortoiseSVN";"";NA;0
73;10;"Apache Tomcat";"";NA;0
73;10;"NetBeans IDE";"";NA;0
73;10;"WordPress";"";NA;0
73;10;"Apache Maven 2";"";NA;0
73;10;"Eclipse Platform Project";"";NA;0
73;10;"Mozilla Firefox";"";NA;0
73;10;"Notepad++";"";NA;0
77;8;"JabRef";"";NA;0
77;8;"Hibernate";"";NA;0
77;8;"Apache Subversion";"";NA;0
77;8;"Eclipse Platform Project";"";NA;0
77;8;"Apache Tomcat";"";NA;0
77;8;"Selenium";"";NA;0
77;8;"Joomla!";"";NA;0
77;8;"Mozilla Firefox";"";NA;0
78;12;"Texmaker";"";NA;0
78;12;"Okular (KDE)";"";NA;0
78;12;"NetBeans IDE";"";NA;0
78;12;"Apache OpenOffice";"";NA;0
78;12;"Spring Framework";"";NA;0
78;12;"MySQL";"";NA;0
78;12;"phpPgAdmin";"";NA;0
78;12;"GIMP";"";NA;0
78;12;"Mozilla Firefox";"";NA;0
78;12;"Geany";"";NA;0
78;12;"Eclipse Platform Project";"";NA;0
78;12;"Notepad++";"";NA;0
83;26;"Rhythmbox";"";NA;0
83;26;"Wine";"";NA;0
83;26;"GNOME Terminal";"";NA;0
83;26;"bootstrap";"";NA;0
83;26;"Oracle VM VirtualBox";"";NA;0
83;26;"Texmaker";"";NA;0
83;26;"Git";"";NA;0
83;26;"Geany";"";NA;0
83;26;"GNU Make";"";NA;0
83;26;"Bash";"";NA;0
83;26;"GNU Diff Utilities";"";NA;0
83;26;"MinGW - Minimalist GNU for Windows";"";NA;0
83;26;"GNU Compiler Collection";"";NA;0
83;26;"Mozilla Firefox";"";NA;0
83;26;"kmplayer";"";NA;0
83;26;"VLC media player";"";NA;0
83;26;"MySQL";"";NA;0
83;26;"Rocks";"";NA;0
83;26;"Vim";"";NA;0
83;26;"gedit";"";NA;0
85;5;"Mozilla Firefox";"";NA;0
85;5;"Vim";"";NA;0
85;5;"Git";"";NA;0
85;5;"NetBeans IDE";"";NA;0
86;9;"sublime-text-community-packages";"";NA;0
86;9;"sublime";"";NA;0
86;9;"gedit";"";NA;0
86;9;"Git";"";NA;0
86;9;"NetBeans IDE";"";NA;0
86;9;"Vim";"";NA;0
86;9;"Mozilla Firefox";"";NA;0
86;9;"Eclipse Platform Project";"";NA;0
87;3;"Eclipse Platform Project";"";NA;0
87;3;"Notepad++";"";NA;0
87;3;"NetBeans IDE";"";NA;0
88;3;"Git";"";NA;0
88;3;"GIMP";"";NA;0
88;3;"Vim";"";NA;0
89;23;"Notepad++";"";NA;0
89;23;"NetBeans IDE";"";NA;0
89;23;"JabRef";"";NA;0
89;23;"Evince";"";NA;0
89;23;"sublime-text-community-packages";"";NA;0
89;23;"sublime";"";NA;0
89;23;"Linux Kernel";"";NA;0
89;23;"phpMyAdmin";"";NA;0
89;23;"PHP";"";NA;0
89;23;"MySQL";"";NA;0
89;23;"Apache OpenOffice";"";NA;0
89;23;"Ubuntu";"";NA;0
89;23;"Mozilla Firefox";"";NA;0
89;23;"PuTTY";"";NA;0
89;23;"MySQL Workbench";"";NA;0
89;23;"TortoiseSVN";"";NA;0
89;23;"Eclipse Platform Project";"";NA;0
94;3;"Notepad++";"";NA;0
94;3;"GIMP";"";NA;0
94;3;"Eclipse Platform Project";"";NA;0
96;10;"Geany";"";NA;0
96;10;"R";"";NA;0
96;10;"Notepad++";"";NA;0
96;10;"Mozilla Firefox";"";NA;0
96;10;"Eclipse Platform Project";"";NA;0
96;10;"Git";"";NA;0
96;10;"MusicBrainz Picard";"";NA;0
100;2;"compiladormepa";"";NA;0
100;2;"compilador2007amp";"";NA;0
